/opt/anaconda3/lib/python3.12/site-packages/geppy/__init__.py:26: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
hff library OK (test fitness: (0.1415394733244273,))
registry: ['circle_area', 'gravity', 'coulomb', 'pendulum', 'keplers3', 'ideal_gas', 'I_6_2a', 'I_6_2', 'I_6_2b', 'I_8_14', 'I_9_18', 'I_10_7', 'I_11_19', 'I_12_1', 'I_12_2', 'I_12_4', 'I_12_5', 'I_12_11', 'I_13_4', 'I_13_12', 'I_14_3', 'I_14_4', 'I_15_3x', 'I_15_3t', 'I_15_1', 'I_16_6', 'I_18_4', 'I_18_12', 'I_18_14', 'I_24_6', 'I_25_13', 'I_26_2', 'I_27_6', 'I_29_4', 'I_29_16', 'I_30_3', 'I_30_5', 'I_32_5', 'I_32_17', 'I_34_8', 'I_34_1', 'I_34_14', 'I_34_27', 'I_37_4', 'I_38_12', 'I_39_1', 'I_39_11', 'I_39_22', 'I_40_1', 'I_41_16', 'I_43_16', 'I_43_31', 'I_43_43', 'I_44_4', 'I_47_23', 'I_48_2', 'I_50_26', 'II_2_42', 'II_3_24', 'II_4_23', 'II_6_11', 'II_6_15a', 'II_6_15b', 'II_8_7', 'II_8_31', 'II_10_9', 'II_11_3', 'II_11_17', 'II_11_20', 'II_11_27', 'II_11_28', 'II_13_17', 'II_13_23', 'II_13_34', 'II_15_4', 'II_15_5', 'II_21_32', 'II_24_17', 'II_27_16', 'II_27_18', 'II_34_2a', 'II_34_2', 'II_34_11', 'II_34_29a', 'II_34_29b', 'II_35_18', 'II_35_21', 'II_36_38', 'II_37_1', 'II_38_3', 'II_38_14', 'III_4_32', 'III_4_33', 'III_7_38', 'III_8_54', 'III_9_52', 'III_10_19', 'III_12_43', 'III_13_18', 'III_14_14', 'III_15_12', 'III_15_14', 'III_15_27', 'III_17_37', 'III_19_51', 'III_21_20', 'test_1', 'test_2', 'test_3', 'test_4', 'test_5', 'test_6', 'test_7', 'test_8', 'test_9', 'test_10', 'test_11', 'test_12', 'test_13', 'test_14', 'test_15', 'test_16', 'test_17', 'test_18', 'test_19', 'test_20']
[feynman override] head_length=48 (keep n_genes=3, avgval linker)
Selected problem: II_4_23
  Description : Feynman I-III II.4.23: Volt = q/(4*pi*epsilon*r)
  Variables   : ['q', 'epsilon', 'r']
  Train range : {'q': (1.0, 5.0), 'epsilon': (1.0, 5.0), 'r': (1.0, 5.0)}
  Extrap range: {'q': (1.0, 7.5), 'epsilon': (1.0, 7.5), 'r': (1.0, 7.5)}
  Truth       : q/(4*pi*epsilon*r)
  ✓ cache hit  (data/equations/II_4_23, key=da8d14bc068bb563)
  train           (800, 4)  target range=[0.003924, 0.2784]
  val             (200, 4)  target range=[0.003929, 0.2359]
  holdout         (200, 4)  target range=[0.004948, 0.2284]
  extrapolation   (200, 4)  target range=[0.002177, 0.1569]
  saved figure → data/figures/II_4_23/eda_pairplot.png
Wide primitive set enabled: sin, cos, exp, log added.
[E22 rules] variable pattern tags: {'coulomb_form'}
[E22/23 rules] static candidate count: 1
[E22/23 rules] allowed to take a fitness slot (exact): 0
  [sum_sq_all/sum_sq] a=-0.0010 b=7.1917e-02 1-R²_va=9.7117e-01
[fuller] gene operators ACTIVE (denoise=0.2 physics=0.2 snap=1.0 concretize=0.05)
Wrapper scope: per_island  (island → wrapper map: ['identity', 'identity'])
Genes: head_length=48, n_genes=3, rnc_array_length=10
Population: (per-island, see below), elites: 2, generations: 400, migration FREQ: 30
  pump per-island sizes: intake=100 (tournsize=8), champion=50 (tournsize=5)
Initialising evolution at 2026-09-19 06:22:16.604082
 gen  deme   evals     min fitness          mse_tr          mse_va         max_err      mse_extrap  one_minus_r2_tr  one_minus_r2_va
   0     0     100     0.118818885   0.00040646246  0.000335652529    0.0738867513   0.00056776392     0.298947459     0.367524121
   0     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
Extending evolution: gen 1 → 400 (+400 generations)
   1     0     100    0.0926621877  0.000241824333  0.000149659506    0.0943141205  0.000487815691     0.177858417     0.163870293
   1     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
   2     0     100    0.0880478601  0.000241824333  0.000149659506    0.0943141205  0.000487815691     0.177858417     0.163870293
   2     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
   3     0     100    0.0145134591  0.000241824333  0.000149659506    0.0943141205  0.000487815691     0.177858417     0.163870293
   3     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
   4     0     100   0.00398259374  0.000241824333  0.000149659506    0.0943141205  0.000487815691     0.177858417     0.163870293
   4     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
   5     0     100   0.00398259374  0.000241824333  0.000149659506    0.0943141205  0.000487815691     0.177858417     0.163870293
   5     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
   6     0     100   0.00398259374  0.000241824333  0.000149659506    0.0943141205  0.000487815691     0.177858417     0.163870293
   6     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
   7     0     100   0.00398259374  0.000241824333  0.000149659506    0.0943141205  0.000487815691     0.177858417     0.163870293
   7     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
   8     0     100   0.00398259374  0.000241824333  0.000149659506    0.0943141205  0.000487815691     0.177858417     0.163870293
   8     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
   9     0     100   0.00398259374  0.000241824333  0.000149659506    0.0943141205  0.000487815691     0.177858417     0.163870293
   9     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
  10     0     100   0.00398259374  0.000241824333  0.000149659506    0.0943141205  0.000487815691     0.177858417     0.163870293
  10     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
--------- pump migration: intra (promote-2 + intake-reset) ---------
  11     0     100  9.92862481e-06  0.000189735995  0.000160577495    0.0315135712  0.000515859457     0.139548173      0.17582499
  11     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
  12     0     100  9.92862481e-06  0.000189735995  0.000160577495    0.0315135712  0.000515859457     0.139548173      0.17582499
  12     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
  13     0     100               0  0.000189735995  0.000160577495    0.0315135712  0.000515859457     0.139548173      0.17582499
  13     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
  14     0     100               0  0.000189735995  0.000160577495    0.0315135712  0.000515859457     0.139548173      0.17582499
  14     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
  15     0     100               0  0.000189735995  0.000160577495    0.0315135712  0.000515859457     0.139548173      0.17582499
  15     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
  16     0     100               0  0.000189735995  0.000160577495    0.0315135712  0.000515859457     0.139548173      0.17582499
  16     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
  17     0     100               0  0.000152109725  0.000105409982     0.031249177  0.000489459505     0.111874577     0.115419094
  17     1      50               0    0.0004522803  0.000349291202     0.115636829  0.000874753978      0.33264584     0.382457842
  18     0     100               0  0.000152109725  0.000105409982     0.031249177  0.000489459505     0.111874577     0.115419094
